_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
1;Welcome to Camden Town!;['Welcome to Camden Town'];[('Welcome', ['A']), ('to', ['V TO']), ('Camden', ['PropN 3sg']), ('Town', ['N 3sg'])];['W425000 W0 W53500 W500'];['welcome', 'to', 'Camden', 'town'];[('welcome', ['A']), ('to', ['V TO']), ('Camden', ['PropN 3sg']), ('town', ['N 3sg'])];[('welcome', 'A'), ('to', 'V'), ('Camden', 'PropN'), ('town', 'N')];Willkommen in Camden Town!;[['Willkommen in Camden Town']];[''];['35466 06 4626 236'];[''];[''];passiv;Welcome;I;ph;;;[]
2;Welcome to;['Welcome to'];[('Welcome', ['A']), ('to', ['V TO'])];['W425000 W0'];['welcome', 'to'];[('welcome', ['A']), ('to', ['V TO'])];[('welcome', 'A'), ('to', 'V')];Willkommen in;[['Willkommen in']];[''];['35466 06'];[''];[''];passiv;Welcome;I;ph;;;[]
3;can;['can'];[('can', ['V PRES', 'V INF'])];['C50'];['can'];[('can', ['V PRES', 'V INF'])];[('can', 'V')];können;[['können']];[''];['466'];[''];[''];aktiv;Welcome;I;v;*can* <> *can't* / *cannot*;;['62', '52', '68']
4;can't (= cannot);"[[""can't""], ['cannot'], ['can not']]";"[[(""can't"", ['V CONTR NEG PRES'])], [('cannot', ['V NEG PRES'])], [('can', ['V PRES', 'V INF']), ('not', ['Adv'])]]";[['C5300'], ['C53000'], ['C50 C30']];[['can'], ['cannot'], ['can', 'not']];[[('can', ['V CONTR NEG PRES'])], [('cannot', ['V NEG PRES'])], [('can', ['V PRES', 'V INF']), ('not', ['Adv'])]];[[('can', 'V')], [('cannot', 'V')], [('can', 'V'), ('not', 'Adv')]];nicht können;[['nicht können']];[''];['642 466'];[''];[''];aktiv;Welcome;I;ph;;;['62', '52', '68']
5;to see;['to see'];[('to', ['V TO']), ('see', ['V INF'])];['T0 T00'];['see'];[('see', ['V INF'])];[('see', 'V')];sehen;[['sehen']];[''];['86'];[''];[''];aktiv;Welcome;I;irr;I can *see* a car.;;['52']
6;a/an;[['a'], ['an']];[[('a', ['Det'])], [('an', ['Det'])]];[['A'], ['A5']];[['a'], ['an']];[[('a', ['Det'])], [('an', ['Det'])]];[[('a', 'Det')], [('an', 'Det')]];ein(e);[['ein'], ['eine']];[''];[['06'], ['06']];[''];[''];aktiv;Welcome;I;d;*a* car / *an* email;;['16', '2', '28', '82', '46', '71', '74', '81', '79', '1']
7;car;['car'];[('car', ['N 3sg'])];['C60'];['car'];[('car', ['N 3sg'])];[('car', 'N')];Auto;[['Auto']];[''];['02'];[''];[''];aktiv;Welcome;I;s;;;['1']
8;I;['I'];[('I', ['Pron 1sg nom'])];['I'];['I'];[('I', ['Pron 1sg nom'])];[('I', 'Pron')];ich;[['ich']];[''];['04'];[''];[''];aktiv;Welcome;I;p;;;['58', '62', '20', '33', '17', '55', '34', '54']
9;to listen to;['to listen to'];[('to', ['V TO']), ('listen', ['V INF']), ('to', ['V TO'])];['T0 T23500 T0'];['listen', 'to'];[('listen', ['V INF']), ('to', ['V TO'])];[('listen', 'V'), ('to', 'V')];zuhören, (an)hören;[['zuhören'], ['hören'], ['anhören']];[''];[['876'], ['076'], ['0676']];[''];[''];aktiv;Welcome;I;ph;*Listen to* the CD.;;[]
10;and;['and'];[('and', ['Conj'])];['A53'];['and'];[('and', ['Conj'])];[('and', 'Conj')];und;[['und']];[''];['062'];[''];[''];aktiv;Welcome;I;k;;;['3', '46', '54']
